goals,yellowCards,redCards,groundDuelsWon,groundDuelsWonPercentage,aerialDuelsWon,aerialDuelsWonPercentage,successfulDribbles,successfulDribblesPercentage,tackles,assists,accuratePassesPercentage,totalDuelsWon,totalDuelsWonPercentage,minutesPlayed,wasFouled,fouls,dispossessed,appearances,saves,savedShotsFromInsideTheBox,savedShotsFromOutsideTheBox,goalsConcededInsideTheBox,goalsConcededOutsideTheBox,highClaims,successfulRunsOut,punches,runsOut,accurateFinalThirdPasses,bigChancesCreated,accuratePasses,keyPasses,accurateCrosses,accurateCrossesPercentage,accurateLongBalls,accurateLongBallsPercentage,interceptions,clearances,dribbledPast,bigChancesMissed,totalShots,shotsOnTarget,blockedShots,goalConversionPercentage,hitWoodwork,offsides,expectedGoals,errorLeadToGoal,errorLeadToShot,passToAssist,player,team,player id,team id
0,3,2,46,55.42,6,40.0,8,72.73,18,2,85.63,52,53.06,1159,20,13,14,14,0,0,0,11,1,0,0,0,0,231,8,548,42,23,37.1,30,60.0,5,12,7,1,33,10,15,0.0,1,0,1.63,0,0,1,Orkun Kökçü,Beşiktaş JK,907461,3050
0,1,0,3,75.0,2,100.0,2,100.0,0,1,73.4,5,83.33,1170,1,0,0,13,43,27,16,16,3,8,4,0,5,16,1,309,2,0,0.0,81,43.09,0,5,1,0,0,0,0,0.0,0,0,,0,0,0,André Onana,Trabzonspor,787498,3051
0,2,0,3,75.0,0,0.0,1,100.0,0,0,67.03,3,60.0,1170,2,1,0,13,48,37,10,19,4,8,4,3,5,10,0,307,0,0,0.0,108,41.7,0,6,0,0,0,0,0,0.0,0,0,,3,0,0,Bilal Bayazit,Kayserispor,825850,3072
0,1,0,15,62.5,28,73.68,1,50.0,8,1,85.36,43,69.35,865,6,3,0,10,0,0,0,12,2,0,0,0,0,33,1,414,2,0,0.0,41,56.16,7,61,5,0,8,2,0,0.0,0,0,0.39,0,1,0,Gabriel Paulista,Beşiktaş JK,124737,3050
0,2,0,1,100.0,4,100.0,0,0.0,0,0,76.43,5,100.0,990,1,0,0,11,24,14,9,6,3,3,3,2,3,7,0,201,1,0,0.0,50,45.45,0,5,0,0,0,0,0,0.0,0,0,,0,1,0,Ederson,Fenerbahçe,254491,3052
3,4,0,50,53.19,6,40.0,10,62.5,13,6,87.9,56,51.38,1307,27,14,15,16,0,0,0,22,4,0,0,0,0,195,6,661,50,23,29.11,86,75.44,6,5,11,2,25,5,7,12.0,0,2,3.77,1,1,0,Alexandru Maxim,Gaziantep FK,180511,5138
0,1,0,52,57.78,3,60.0,8,50.0,31,2,85.33,55,57.89,924,13,14,5,16,0,0,0,4,3,0,0,0,0,159,4,506,20,1,10.0,24,57.14,13,6,12,2,21,8,7,0.0,2,0,1.58,0,0,0,Fred,Fenerbahçe,243623,3052
2,4,0,55,55.0,5,62.5,21,65.63,18,3,90.05,60,55.56,763,16,14,12,9,0,0,0,11,1,0,0,0,0,86,3,371,19,7,50.0,21,80.77,4,3,9,0,11,4,2,18.18,1,0,0.51,0,0,0,Christ Inao Oulaï,Trabzonspor,1888002,3051
2,2,0,36,63.16,0,0.0,5,71.43,18,0,75.23,36,59.02,554,13,11,2,7,0,0,0,7,0,0,0,0,0,72,2,164,13,7,15.56,18,54.55,4,3,6,1,18,6,3,11.11,0,1,1.93,0,0,1,Haris Hajradinović,Kasımpaşa,254979,6063
1,5,0,83,63.36,14,58.33,18,78.26,44,0,87.18,97,62.58,1048,21,23,10,15,0,0,0,9,3,0,0,0,0,145,2,585,12,1,16.67,29,69.05,13,11,11,1,17,3,6,5.88,0,1,0.98,0,1,0,İsmail Yüksek,Fenerbahçe,952600,3052
1,4,1,41,58.57,29,65.91,5,55.56,21,0,91.26,70,61.4,1119,15,13,2,15,0,0,0,10,0,0,0,0,0,87,1,752,7,2,100.0,41,53.95,8,64,11,1,9,2,2,11.11,0,0,0.78,0,1,0,Davinson Sánchez,Galatasaray,566102,3061
4,1,0,19,55.88,6,85.71,8,61.54,3,2,83.51,25,60.98,532,10,2,6,12,0,0,0,6,0,0,0,0,0,71,5,157,16,10,27.03,4,26.67,3,4,2,3,22,11,8,18.18,0,2,3.58,1,0,0,Cengiz Ünder,Beşiktaş JK,758876,3050
1,2,0,26,45.61,23,57.5,4,66.67,14,1,87.82,49,50.52,1002,8,23,4,12,0,0,0,6,2,0,0,0,0,55,1,555,5,2,25.0,41,53.25,18,56,5,1,8,3,2,12.5,0,0,0.71,0,1,0,Hrvoje Smolčić,Kocaelispor,974582,3065
